customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status
102,25,221004.0,MORTGAGE,6,DEBT CONSOLIDATION,C,11900.0,14.42,10,Yes,3,DEFAULT
103,26,232500.0,MORTGAGE,4,MEDICAL,B,25000.0,14.17,10,Yes,2,NO DEFAULT
104,25,230000.0,MORTGAGE,5,MEDICAL,B,35000.0,13.99,10,Yes,4,NO DEFAULT
105,23,83000.0,RENT,7,EDUCATION,A,25300.0,10.99,10,Yes,3,NO DEFAULT
112,26,226000.0,MORTGAGE,4,HOME IMPROVEMENT,A,20000.0,11.49,10,Yes,4,NO DEFAULT
113,25,225000.0,MORTGAGE,4,HOME IMPROVEMENT,D,30000.0,19.91,10,Yes,2,NO DEFAULT
114,26,213000.0,MORTGAGE,6,EDUCATION,A,35000.0,10.65,10,No,2,DEFAULT
115,24,225000.0,RENT,4,MEDICAL,A,6000.0,10.99,4,Yes,4,NO DEFAULT
124,25,225000.0,MORTGAGE,4,VENTURE,E,25000.0,18.67,10,Yes,2,NO DEFAULT
125,26,225000.0,RENT,1,EDUCATION,A,3000.0,9.32,6,Yes,4,NO DEFAULT
126,23,225000.0,RENT,8,DEBT CONSOLIDATION,A,7500.0,8.63,3,Yes,2,NO DEFAULT
127,26,225000.0,MORTGAGE,2,VENTURE,A,25000.0,10.08,10,Yes,2,NO DEFAULT
129,23,50000.0,RENT,1,DEBT CONSOLIDATION,A,25000.0,7.9,10,Yes,3,NO DEFAULT
130,25,50000.0,RENT,4,HOME IMPROVEMENT,A,25000.0,5.99,10,No,2,DEFAULT
132,23,50000.0,RENT,1,VENTURE,A,25000.0,11.83,10,Yes,4,NO DEFAULT
133,22,50004.0,RENT,4,VENTURE,A,25000.0,10.36,10,Yes,2,NO DEFAULT
134,22,50004.0,RENT,3,VENTURE,B,25000.0,12.23,10,No,3,DEFAULT
135,22,52000.0,RENT,2,EDUCATION,A,25000.0,11.11,10,Yes,4,NO DEFAULT
137,24,220000.0,MORTGAGE,1,EDUCATION,A,25000.0,11.58,10,Yes,2,NO DEFAULT
138,23,216000.0,MORTGAGE,5,DEBT CONSOLIDATION,A,21000.0,8.9,10,Yes,3,NO DEFAULT
139,25,216000.0,MORTGAGE,2,EDUCATION,C,25000.0,16.07,10,Yes,3,NO DEFAULT
140,26,216000.0,MORTGAGE,10,EDUCATION,B,20000.0,14.22,10,Yes,2,NO DEFAULT
141,23,215000.0,MORTGAGE,7,MEDICAL,B,35000.0,14.79,10,Yes,3,NO DEFAULT
142,26,215000.0,MORTGAGE,11,EDUCATION,A,12000.0,7.88,10,Yes,2,NO DEFAULT
143,23,52000.0,RENT,1,PERSONAL,B,25000.0,13.22,10,No,2,DEFAULT
145,22,53000.0,RENT,5,EDUCATION,B,25000.0,13.43,10,Yes,4,DEFAULT
150,22,210000.0,MORTGAGE,6,VENTURE,A,16000.0,10.62,10,Yes,4,NO DEFAULT
151,26,210000.0,OWN,10,PERSONAL,A,22000.0,11.83,10,Yes,4,NO DEFAULT
153,22,54996.0,RENT,6,EDUCATION,A,25000.0,10.99,10,Yes,4,NO DEFAULT
154,24,55000.0,RENT,4,HOME IMPROVEMENT,C,25000.0,10.99,10,Yes,4,DEFAULT
155,23,55000.0,RENT,4,EDUCATION,A,25000.0,11.36,10,Yes,3,NO DEFAULT
156,23,55000.0,RENT,4,EDUCATION,C,25000.0,15.65,10,Yes,3,DEFAULT
157,24,55164.0,RENT,8,PERSONAL,B,25000.0,13.22,10,Yes,4,DEFAULT
158,26,56000.0,RENT,4,DEBT CONSOLIDATION,B,25000.0,12.87,10,No,2,DEFAULT
159,24,203500.0,OWN,8,MEDICAL,B,20000.0,13.04,10,Yes,3,NO DEFAULT
160,23,190000.0,MORTGAGE,5,EDUCATION,E,22000.0,17.58,10,Yes,3,DEFAULT
162,24,60000.0,RENT,4,PERSONAL,A,25000.0,10.99,10,No,3,DEFAULT
163,24,60000.0,RENT,2,PERSONAL,A,25000.0,11.11,10,No,3,DEFAULT
164,26,54000.0,RENT,7,DEBT CONSOLIDATION,C,25000.0,14.83,10,Yes,2,DEFAULT
166,24,200000.0,RENT,8,MEDICAL,A,12000.0,12.69,10,Yes,2,NO DEFAULT
167,24,200000.0,MORTGAGE,8,HOME IMPROVEMENT,B,12000.0,13.49,10,Yes,2,NO DEFAULT
168,21,200000.0,MORTGAGE,5,EDUCATION,B,16000.0,14.65,10,Yes,4,NO DEFAULT
169,25,54000.0,RENT,3,HOME IMPROVEMENT,D,25000.0,16.82,10,No,4,DEFAULT
170,23,60000.0,RENT,3,PERSONAL,B,25000.0,12.73,10,No,3,DEFAULT
171,23,60000.0,RENT,7,PERSONAL,A,25000.0,10.25,10,No,4,DEFAULT
172,21,60000.0,RENT,6,EDUCATION,A,25000.0,10.99,10,No,4,DEFAULT
173,25,61959.0,RENT,9,MEDICAL,B,25000.0,12.73,10,No,2,DEFAULT
174,22,56400.0,RENT,2,HOME IMPROVEMENT,C,25000.0,14.96,10,Yes,3,DEFAULT
175,23,200000.0,MORTGAGE,7,EDUCATION,A,28000.0,10.99,10,Yes,2,NO DEFAULT
176,21,200000.0,MORTGAGE,2,DEBT CONSOLIDATION,B,25000.0,13.99,10,Yes,2,NO DEFAULT
177,24,200000.0,MORTGAGE,3,VENTURE,A,24000.0,7.49,10,Yes,4,NO DEFAULT
178,26,200000.0,MORTGAGE,4,EDUCATION,B,15000.0,14.79,10,Yes,3,NO DEFAULT
179,25,200000.0,MORTGAGE,2,DEBT CONSOLIDATION,A,15500.0,11.99,10,Yes,2,NO DEFAULT
180,24,200000.0,RENT,8,EDUCATION,A,10000.0,8.49,4,Yes,4,NO DEFAULT
181,24,66000.0,RENT,3,EDUCATION,A,25000.0,9.91,10,No,2,DEFAULT
182,22,66000.0,RENT,6,EDUCATION,B,25000.0,13.06,10,Yes,3,DEFAULT
183,22,200000.0,MORTGAGE,6,DEBT CONSOLIDATION,A,9000.0,6.17,2,Yes,4,NO DEFAULT
185,25,200000.0,RENT,5,EDUCATION,C,18000.0,16.32,10,Yes,3,NO DEFAULT
186,25,200000.0,MORTGAGE,2,VENTURE,A,12000.0,10.38,10,Yes,2,NO DEFAULT
187,25,200000.0,MORTGAGE,9,PERSONAL,B,23050.0,14.35,10,Yes,3,NO DEFAULT
188,24,200000.0,MORTGAGE,8,DEBT CONSOLIDATION,A,20000.0,10.99,10,Yes,3,NO DEFAULT
189,24,60000.0,RENT,2,DEBT CONSOLIDATION,D,25000.0,10.99,10,Yes,2,DEFAULT
191,26,66996.0,RENT,10,PERSONAL,C,25000.0,15.21,10,Yes,2,DEFAULT
192,23,67000.0,RENT,3,EDUCATION,A,25000.0,7.9,10,No,4,DEFAULT
193,24,67000.0,RENT,2,VENTURE,A,25000.0,10.99,10,No,3,DEFAULT
194,24,68000.0,RENT,5,PERSONAL,C,25000.0,14.09,10,Yes,3,DEFAULT
195,25,69000.0,RENT,9,PERSONAL,C,25000.0,17.49,10,No,2,DEFAULT
196,25,200000.0,MORTGAGE,4,EDUCATION,A,12000.0,11.48,10,Yes,3,NO DEFAULT
197,26,188000.0,MORTGAGE,10,VENTURE,D,20000.0,17.74,10,No,2,DEFAULT
198,26,200000.0,MORTGAGE,4,PERSONAL,B,3000.0,13.92,6,Yes,3,NO DEFAULT
199,25,69996.0,RENT,9,EDUCATION,C,25000.0,15.21,10,No,3,DEFAULT
201,24,70000.0,RENT,3,EDUCATION,A,25000.0,11.86,10,No,4,DEFAULT
203,24,56100.0,RENT,7,MEDICAL,C,25000.0,16.49,10,No,4,DEFAULT
204,25,66000.0,RENT,9,VENTURE,C,25000.0,15.33,10,Yes,2,DEFAULT
205,26,66000.0,RENT,3,HOME IMPROVEMENT,A,25000.0,11.58,10,No,4,DEFAULT
207,25,72612.0,RENT,9,MEDICAL,B,25000.0,13.11,10,No,2,DEFAULT
208,23,74000.0,RENT,3,MEDICAL,A,25000.0,10.36,10,No,3,DEFAULT
209,25,75000.0,RENT,9,DEBT CONSOLIDATION,A,25000.0,10.36,10,Yes,2,DEFAULT
210,24,192000.0,RENT,4,MEDICAL,B,22000.0,10.99,10,Yes,2,NO DEFAULT
212,25,191000.0,MORTGAGE,1,MEDICAL,A,10000.0,12.53,5,Yes,4,NO DEFAULT
213,26,190300.0,MORTGAGE,5,PERSONAL,A,15000.0,10.99,10,Yes,3,NO DEFAULT
214,22,190000.0,MORTGAGE,3,VENTURE,B,10000.0,10.99,2,Yes,3,NO DEFAULT
215,24,75000.0,RENT,4,EDUCATION,A,25000.0,10.25,10,No,4,DEFAULT
216,22,71000.0,RENT,1,EDUCATION,C,25000.0,15.95,10,Yes,4,DEFAULT
217,26,190000.0,MORTGAGE,3,VENTURE,A,20000.0,12.18,10,Yes,4,NO DEFAULT
218,23,189996.0,OWN,4,PERSONAL,A,24000.0,11.83,10,Yes,3,NO DEFAULT
220,23,78000.0,RENT,1,VENTURE,A,25000.0,10.62,10,No,3,DEFAULT
221,23,78504.0,RENT,7,VENTURE,A,25000.0,10.74,10,No,3,DEFAULT
222,25,186000.0,OWN,9,VENTURE,A,10000.0,10.25,5,Yes,4,NO DEFAULT
224,25,185000.0,RENT,6,VENTURE,B,15000.0,15.27,10,Yes,2,NO DEFAULT
225,24,62050.0,RENT,8,MEDICAL,C,25000.0,15.33,10,Yes,2,DEFAULT
226,23,79416.0,RENT,7,VENTURE,C,25000.0,15.21,10,Yes,2,DEFAULT
228,24,79631.0,RENT,8,PERSONAL,C,25000.0,15.7,10,Yes,2,DEFAULT
229,24,79632.0,RENT,4,EDUCATION,B,25000.0,13.35,10,No,4,DEFAULT
231,24,80000.0,RENT,6,EDUCATION,A,25000.0,6.62,10,No,2,DEFAULT
232,26,80000.0,RENT,5,DEBT CONSOLIDATION,B,25000.0,13.61,10,No,4,DEFAULT
233,22,185000.0,RENT,4,MEDICAL,A,25000.0,11.36,10,Yes,2,NO DEFAULT
234,26,185000.0,OWN,10,PERSONAL,A,5000.0,7.68,6,Yes,2,NO DEFAULT
235,24,184992.0,RENT,7,HOME IMPROVEMENT,C,22000.0,14.46,10,Yes,4,NO DEFAULT
236,23,184000.0,OWN,5,EDUCATION,A,2500.0,11.83,3,Yes,2,NO DEFAULT
237,24,172000.0,MORTGAGE,6,DEBT CONSOLIDATION,B,20000.0,13.47,10,Yes,4,DEFAULT
238,24,183000.0,MORTGAGE,2,MEDICAL,A,20000.0,11.49,10,Yes,3,NO DEFAULT
239,22,183000.0,MORTGAGE,3,EDUCATION,A,1000.0,10.99,2,Yes,2,NO DEFAULT
240,25,182952.0,MORTGAGE,9,PERSONAL,A,15000.0,6.03,10,Yes,3,NO DEFAULT
241,23,74004.0,RENT,7,DEBT CONSOLIDATION,D,25000.0,16.35,10,No,4,DEFAULT
242,26,74004.0,RENT,10,DEBT CONSOLIDATION,C,25000.0,10.99,10,Yes,4,DEFAULT
243,25,81000.0,RENT,5,DEBT CONSOLIDATION,A,25000.0,7.29,10,Yes,3,DEFAULT
244,23,81600.0,RENT,1,MEDICAL,A,25000.0,11.36,10,No,3,DEFAULT
245,24,82000.0,RENT,8,VENTURE,A,25000.0,10.25,10,Yes,2,NO DEFAULT
246,24,83000.0,RENT,5,EDUCATION,A,25000.0,11.12,10,Yes,3,NO DEFAULT
247,24,83000.0,RENT,5,PERSONAL,C,25000.0,12.92,10,Yes,3,NO DEFAULT
248,24,180000.0,RENT,8,EDUCATION,D,18000.0,18.64,10,Yes,4,NO DEFAULT
249,23,180000.0,MORTGAGE,8,PERSONAL,A,28000.0,7.51,10,Yes,3,NO DEFAULT
252,22,84500.0,RENT,6,PERSONAL,E,25000.0,18.3,10,Yes,4,NO DEFAULT
253,24,85000.0,RENT,5,MEDICAL,A,25000.0,10.62,10,Yes,4,NO DEFAULT
254,24,180000.0,MORTGAGE,7,VENTURE,A,14000.0,11.99,10,Yes,2,NO DEFAULT
255,26,180000.0,MORTGAGE,2,VENTURE,A,12000.0,9.63,10,Yes,4,NO DEFAULT
256,25,142800.0,MORTGAGE,9,MEDICAL,E,10000.0,18.25,5,No,4,DEFAULT
258,24,87000.0,RENT,8,HOME IMPROVEMENT,C,25000.0,14.84,10,Yes,3,NO DEFAULT
259,24,75000.0,RENT,4,VENTURE,D,25000.0,14.7,10,Yes,3,DEFAULT
260,23,76000.0,RENT,7,DEBT CONSOLIDATION,C,25000.0,16.02,10,No,4,DEFAULT
261,23,66215.0,RENT,1,MEDICAL,C,25000.0,15.37,10,Yes,2,DEFAULT
262,25,90000.0,RENT,9,MEDICAL,A,25000.0,10.99,10,Yes,4,NO DEFAULT
264,26,180000.0,OWN,2,PERSONAL,A,25000.0,10.99,10,Yes,4,NO DEFAULT
265,24,180000.0,OWN,8,EDUCATION,A,21000.0,11.48,10,Yes,3,NO DEFAULT
266,25,180000.0,OWN,9,MEDICAL,B,20000.0,14.26,10,Yes,4,NO DEFAULT
267,26,180000.0,OWN,4,HOME IMPROVEMENT,A,10000.0,8.0,6,Yes,4,NO DEFAULT
268,25,180000.0,MORTGAGE,3,VENTURE,A,9950.0,11.26,5,Yes,2,NO DEFAULT
270,23,78000.0,RENT,2,VENTURE,C,25000.0,16.32,10,Yes,3,DEFAULT
271,25,66300.0,RENT,3,MEDICAL,D,25000.0,17.93,10,Yes,4,DEFAULT
272,23,90000.0,RENT,4,DEBT CONSOLIDATION,A,25000.0,11.36,10,Yes,3,NO DEFAULT
273,24,79000.0,RENT,9,DEBT CONSOLIDATION,C,25000.0,14.96,10,Yes,4,DEFAULT
274,24,91800.0,RENT,4,PERSONAL,B,25000.0,13.43,10,Yes,3,NO DEFAULT
275,25,92000.0,RENT,6,HOME IMPROVEMENT,A,25000.0,12.69,10,Yes,3,NO DEFAULT
276,24,92000.0,RENT,1,VENTURE,B,25000.0,12.73,10,Yes,4,NO DEFAULT
277,23,93600.0,RENT,3,VENTURE,C,25000.0,15.21,10,Yes,4,NO DEFAULT
279,23,70550.0,RENT,3,MEDICAL,E,25000.0,19.04,10,Yes,4,DEFAULT
280,25,83800.0,RENT,2,DEBT CONSOLIDATION,C,25000.0,15.95,10,Yes,3,DEFAULT
281,26,175000.0,MORTGAGE,3,VENTURE,A,2600.0,8.9,6,Yes,4,NO DEFAULT
282,25,175000.0,MORTGAGE,10,HOME IMPROVEMENT,A,8000.0,7.9,5,Yes,2,NO DEFAULT
283,22,175000.0,MORTGAGE,6,EDUCATION,A,18000.0,10.99,10,Yes,2,NO DEFAULT
284,23,175000.0,MORTGAGE,8,PERSONAL,A,21000.0,11.99,10,Yes,3,NO DEFAULT
287,22,88000.0,RENT,6,DEBT CONSOLIDATION,C,25000.0,15.58,10,Yes,2,DEFAULT
288,25,74800.0,RENT,2,MEDICAL,A,25000.0,10.99,10,No,2,DEFAULT
289,25,88000.0,RENT,4,VENTURE,C,25000.0,14.96,10,No,4,DEFAULT
291,26,88000.0,RENT,2,VENTURE,C,25000.0,15.65,10,No,3,DEFAULT
292,25,100000.0,RENT,1,VENTURE,A,25000.0,9.33,10,Yes,4,NO DEFAULT
294,24,102400.0,RENT,8,PERSONAL,A,25000.0,10.36,10,Yes,3,NO DEFAULT
295,24,92000.0,RENT,1,HOME IMPROVEMENT,D,25000.0,16.77,10,Yes,4,DEFAULT
296,23,93000.0,RENT,4,DEBT CONSOLIDATION,C,25000.0,14.59,10,Yes,2,DEFAULT
297,22,175000.0,RENT,6,VENTURE,B,3500.0,11.91,2,Yes,2,NO DEFAULT
298,23,175000.0,MORTGAGE,3,EDUCATION,A,7200.0,8.38,3,Yes,3,NO DEFAULT
299,25,174708.0,RENT,9,VENTURE,A,9000.0,10.59,5,Yes,3,NO DEFAULT
300,25,174000.0,MORTGAGE,2,DEBT CONSOLIDATION,B,8800.0,14.27,5,Yes,3,NO DEFAULT
301,26,174000.0,RENT,8,DEBT CONSOLIDATION,A,12000.0,12.53,10,Yes,4,NO DEFAULT
302,25,162000.0,MORTGAGE,5,DEBT CONSOLIDATION,D,25000.0,16.0,10,Yes,3,DEFAULT
303,26,173467.0,MORTGAGE,10,VENTURE,A,10000.0,11.71,6,Yes,4,NO DEFAULT
305,25,96000.0,RENT,2,HOME IMPROVEMENT,D,25000.0,15.68,10,Yes,4,DEFAULT
307,24,97908.0,RENT,8,HOME IMPROVEMENT,C,25000.0,12.61,10,Yes,2,DEFAULT
308,26,110000.0,RENT,3,PERSONAL,B,25000.0,10.99,10,Yes,2,NO DEFAULT
310,25,159600.0,RENT,4,PERSONAL,C,30000.0,17.27,10,Yes,4,DEFAULT
311,24,171500.0,RENT,6,DEBT CONSOLIDATION,A,18000.0,8.9,10,Yes,4,NO DEFAULT
312,25,170004.0,MORTGAGE,3,MEDICAL,A,10000.0,11.11,5,Yes,4,NO DEFAULT
313,24,158004.0,RENT,4,HOME IMPROVEMENT,C,25000.0,14.59,10,Yes,2,DEFAULT
314,26,170000.0,RENT,4,VENTURE,A,13000.0,12.42,10,Yes,3,NO DEFAULT
315,24,83300.0,RENT,4,MEDICAL,C,25000.0,10.99,10,No,2,DEFAULT
316,24,110000.0,RENT,7,HOME IMPROVEMENT,C,25000.0,15.7,10,Yes,2,NO DEFAULT
318,25,134300.0,RENT,3,MEDICAL,C,5000.0,16.49,5,No,2,DEFAULT
319,25,170000.0,MORTGAGE,2,EDUCATION,A,20000.0,7.49,10,Yes,2,NO DEFAULT
320,22,100580.0,RENT,6,DEBT CONSOLIDATION,C,25000.0,14.96,10,Yes,2,DEFAULT
321,25,113000.0,RENT,7,MEDICAL,B,25000.0,12.73,10,Yes,4,NO DEFAULT
322,24,120000.0,RENT,8,EDUCATION,A,25000.0,10.65,10,Yes,4,NO DEFAULT
323,25,120000.0,RENT,6,MEDICAL,A,1000000.0,10.74,10,No,2,DEFAULT
323,25,120000.0,RENT,6,MEDICAL,A,1000000.0,10.74,10,No,2,DEFAULT
324,23,120000.0,RENT,7,EDUCATION,A,25000.0,9.99,10,Yes,2,NO DEFAULT
324,23,120000.0,RENT,7,EDUCATION,A,25000.0,9.99,10,Yes,2,NO DEFAULT
325,24,91800.0,RENT,5,MEDICAL,C,25000.0,15.33,10,Yes,2,DEFAULT
327,26,108000.0,RENT,2,PERSONAL,C,25000.0,15.05,10,No,3,DEFAULT
328,26,129996.0,RENT,6,PERSONAL,A,25000.0,10.75,10,Yes,3,NO DEFAULT
329,23,130000.0,RENT,4,EDUCATION,C,25000.0,16.02,10,Yes,2,NO DEFAULT
330,23,130000.0,RENT,7,VENTURE,A,25000.0,11.49,10,Yes,4,NO DEFAULT
331,25,170000.0,OWN,4,EDUCATION,A,20000.0,12.53,10,Yes,4,NO DEFAULT
332,26,170000.0,MORTGAGE,4,VENTURE,B,12000.0,13.57,10,Yes,2,NO DEFAULT
333,22,169000.0,RENT,1,PERSONAL,A,14000.0,11.14,10,Yes,3,NO DEFAULT
334,26,168750.0,RENT,10,MEDICAL,B,24250.0,12.87,10,Yes,3,NO DEFAULT
335,23,168600.0,RENT,3,EDUCATION,A,20000.0,11.58,10,Yes,3,NO DEFAULT
336,24,168288.0,RENT,5,HOME IMPROVEMENT,A,1800.0,11.12,4,Yes,3,NO DEFAULT
337,25,168000.0,MORTGAGE,2,PERSONAL,A,35000.0,10.65,10,Yes,2,NO DEFAULT
338,24,133300.0,RENT,6,DEBT CONSOLIDATION,A,25000.0,10.37,10,Yes,2,NO DEFAULT
340,24,134000.0,RENT,8,PERSONAL,C,25000.0,16.07,10,Yes,3,NO DEFAULT
341,25,134000.0,RENT,7,MEDICAL,A,25000.0,10.62,10,Yes,2,NO DEFAULT
343,25,135000.0,RENT,5,EDUCATION,A,25000.0,11.36,10,Yes,4,NO DEFAULT
344,26,135660.0,RENT,10,DEBT CONSOLIDATION,A,25000.0,12.53,10,Yes,4,NO DEFAULT
